category,img,title,desc,price,note
drink,assets/images/coffee.jpg,気合の一杯,Coffee,¥500,香り豊かなこだわりの一杯
drink,assets/images/latte.jpg,カフェラテ,Latte (iced hot),¥600,優しいミルクの甘さ
drink,assets/images/lemonade.jpg,自家製レモネード,Lemonade,¥600,さっぱり爽快自家製レモネード
drink,assets/images/banana-juice.jpg,バナナジュース,Banana Juice,¥600,お子様にも大人気
drink,assets/images/teacider.jpg,ティーサイダー,Tea Cider,¥800,新感覚のティードリンク
drink,assets/images/americano.jpg,カフェアメリカーノ,Americano (iced/hot),¥500,
drink,,エスプレッソ,Espresso,¥300,
drink,,エスプレッソトニック,Espresso Tonic,¥700,
drink,,抹茶ラテ,Matcha Latte (iced/hot),¥600,
drink,,オレンジジュース,Orange Juice,¥500,
drink,,アップルジュース,Apple Juice,¥500,
drink,,ジンジャーエール,Ginger Ale,¥500,
drink,,コカ・コーラ,Coca-Cola,¥500,
drink,,クリームソーダ,Cream Soda,¥600,
drink,,瓶ビール,Beer,¥800,
drink,,ハイボール,Highball,¥800,
drink,,ふんわりバニラのメルボルンブレックファースト,T2 Tea,Cup ¥700 / Pot ¥1000,
drink,,フローラルなフレンチアールグレイ,T2 Tea,Cup ¥700 / Pot ¥1000,
drink,,フルーティーなパックス・ア・ピーチ,T2 Tea,Cup ¥700 / Pot ¥1000,
drink,,スパイシーなオーガニックチャイ,T2 Tea,Cup ¥700 / Pot ¥1000,
drink,,ロイヤルミルクティー,Royal Milk Tea,¥800,
food,assets/images/hotdog.jpg,ニューヨークホットドック,Hotdog,¥680,パリッとジューシー
food,assets/images/curry.jpg,華麗なカレーとドライなカレー,Original Curry,"¥1,000",スパイスの効いた本格カレー
food,assets/images/french-fries.jpg,マクドみたいなポテト,French Fries,¥500,みんなでシェアできるポテト
food,assets/images/creamy-salmon.jpg,クリームどんちゃん,Salmon Cream UDON,"¥1,000",クリーミーで濃厚な特製サーモンうどん
food,,華麗なカレーと激ウマバケット,Curry,"¥1,000",
food,,バタートースト,Toast with Butter,¥400,
food,,あんバターサンド,An-Butter Sandwich,¥680,
food,,ブルーチーズバナナトースト,Bluecheese & Banana Toast,¥680,
food,,ピザトースト(バケット),Pizza Toast,¥680,
food,assets/images/egg-sandwich.jpg,たまごっちサンド,Egg Sandwich,¥700,
food,,たまごっちハーフ,Egg Sandwich HALF,¥500,
food,,ブルックリンブランチ,Brooklyn Brunch,¥750,
food,,ポテトチップス,Potato Chips,¥400,
sweets,assets/images/parfait.jpg,ティラミス風パフェ,Tiramisu Parfait,¥600,濃厚でとろける味わい
sweets,assets/images/carrot-cake.jpg,手作りキャロットケーキ,Carrot Cake,¥600,手作りの優しい味わい
kids,,バナナスティックケーキ,Kids Dessert,¥350,
kids,,国産豆乳プリンタルト,Kids Dessert,¥350,
kids,,ガトーショコラ,Kids Dessert,¥350,
kids,,国産りんごのタルト,Kids Dessert,¥350,
kids,,さつまいもと栗のタルト,Kids Dessert,¥350,
kids,,クレープ(みかんorいちご),Kids Dessert,¥350,
sweets,,チーズケーキ,Cheese Cake,¥600,
sweets,,クレープ,Crepe,¥700,
sweets,,アイスクリーム,Ice Cream,¥500,
sweets,assets/images/chunky-ice-cream.jpg,チャンキーアイスクリーム,Chunky Ice Cream,¥600,
sweets,,アフォガート,Affogato,¥600,
sweets,,手作りフロランタン,Florentine,¥400,
sweets,,手作り焦がしミルクチョコブラウニー,Brownie,¥400,
